id,name,source,scaling_stat,coefficient,slot_type,effect_type,is_key_skill,cooldown,skill_kind,target_mode,max_targets,effect_value,duration,range,dash_distance,tier,icon_ruid,icon_ratio,effect_ruid,effect_style,sfx_ruid,projectile_ruid,passive_stat,passive_value,description,layer_ruids,layer_types,layer_styles,layer_delays,layer_durations,layer_scales,layer_offsets_x,layer_offsets_y,layer_drifts_x,layer_drifts_y
s_hero_02,브랜디쉬,boss,ATK,1.6,enemy,damage,false,5,attack,area,0,0,0,4.0,0,2,429228115d56462ab0f65e7294a51609,1.0,8b26a0cdb63d455e82d1ca0fddf5e139,,f0c0c4016cf04d0d98886227cab56561,,,,히어로 전투 전용. 무기를 크게 휘둘러 닿는 적을 모두 베어 넘긴다,,,,,,,,,,
s_hero_03,오라 블레이드,boss,ATK,1.9,enemy,damage,false,6,attack,area,0,0,0,5.0,0,3,483690e55c974444aef84df3a6331d93,1.0,5c3501dc981941c5b04c2f690351bce8,,,,,,히어로 전투 전용. 검에 오라를 실어 주변을 베어 낸다,,,,,,,,,,
s_hero_04,레이징 블로우,boss,ATK,2.3,enemy,damage,false,7,attack,area,0,0,0,6.0,0,4,644fc39bcc684c209264eb9d9a4cd6f8,1.0,5308ef85369c4f31843d6e8cde4b1012,,aa92fddf0e404d35bf6406cef6bc7ad5,,,,히어로 전투 전용. 분노를 실어 주변의 적을 한 번에 내리친다,,,,,,,,,,
s_bow_01,애로우 블로우,boss,DEX,1.15,enemy,damage,false,3,attack,single,1,0,0,8.0,0,1,f62b353e3f704eb097e427b7fc97980e,1.0,2ed6be9152eb4bf0b22f4ca6e6fff9fe,,b4c345306d4948f1a0b8cc787fd57bef,64f775829e234918bd65e9d22214bb06,,,보우마스터 전투 전용. 한 명을 겨눠 강한 화살을 발사한다,,,,,,,,,,
s_bow_02,바람의 시,boss,DEX,1.35,enemy,damage,false,4,attack,fan,1,0,0,8.0,0,2,f527f0a168f34f31bd8b17e1059f3769,1.0,01f39ee5971246ed8306bc471d44a1fd,,1e3279c7a29346b68ce69c5abdfe07e2,6294c62288bd46beb2ff548bd8671ee0,,,보우마스터 전투 전용. 세 갈래 바람 화살로 넓게 압박한다,,,,,,,,,,
s_bow_03,애로우 플래터,boss,DEX,1.15,enemy,damage,false,7,attack,zone,1,0,2.2,8.0,0,3,22f848d3e25941d88f3bccaebe6f7f64,1.0,5f2d779cdb8b4cdb9620b2c235e51f25,,82293dd92078489db5580ec7f2c1b6ae,e2a05bd4787543618ffcbbe719288ee8,,,보우마스터 전투 전용. 사격 장치를 세워 짧은 시간 연속으로 화살을 쏜다,,,,,,,,,,
s_bow_04,피닉스,boss,DEX,1.8,enemy,damage,false,8,attack,projectile_area,0,1.4,0,9.0,0,3,fd051469cf104e0bb1597e6930619354,1.0,46198aa7dd8245b59ea37305c57df9f0,,27144cdcb71e40fba845e2f084b257ab,24a41e7c8ab9445589d9b637528b7a1c,,,보우마스터 전투 전용. 불새를 날려 착탄 지점의 적을 휩쓴다,,,,,,,,,,
s_bow_05,폭풍의 시,boss,DEX,0.75,enemy,damage,false,8,attack,barrage,1,0,0.65,10.0,0,4,b4fc4ca0e970498781b49ddfdffe9ff1,1.0,2ba72c9b0bdd4e2fb33269262e9a7dea,,1e1277a1cbce48a3aeb5297b9ca95b01,dccb430baeae4e0293035a3394b5e288,,,보우마스터 전투 전용. 낮은 체력에서 화살 다섯 발을 빠르게 퍼붓는다,,,,,,,,,,
s_mon_axe_stump,도끼 휘두르기,monster,ATK,1.3,monster,damage,false,4,attack,area,0,0,0,3.0,0,0,b03001aaa4cf4dfe82d34a48c58cb342,1.00,,,afbb81b51fed47eaaee26cc403d59ccf,,,,몸에 박힌 도끼의 기억을 따라 몸을 크게 비틀어 흙먼지와 묵직한 충격을 원호처럼 남긴다,0207c85c05dd4c4eac12f9ee735d0545|997628810df4448f9e534bc426d6794a,animationclip|animationclip,clip|clip,0|0.14,0.55|0.48,0.7|0.62,0.05|0.65,0|0,0.3|0,0|0
s_mon_dark_axe_stump,어둠의 뿌리,monster,INT,1.5,monster,damage,false,5,attack,area,0,0,0,4.0,0,0,0fbbe12552664c5f87944ff56a630178,1.00,,,eb7f504670a14802a48cc94f4eb66848,,,,썩은 밑동 좌우에서 검은 뿌리가 차례로 솟아 적을 얽는다,a77ea54c400e4b56a44ed05091a0ae53|a77ea54c400e4b56a44ed05091a0ae53,animationclip|animationclip,clip|clip,0|0.12,0.82|0.82,0.82|0.82,-0.28|0.28,-0.12|-0.12,0|0,0|0
s_mon_wild_boar,저돌 맹진,monster,ATK,1.5,monster,damage,false,5,attack,single,1,0,0,0,5.0,0,b656b6744e204375a345782b5119aea2,1.00,,,f5a9f40c07c645c88e069849a566b4ff,,,,땅을 박차 흙먼지를 길게 남기며 정면으로 돌진한다,0207c85c05dd4c4eac12f9ee735d0545|79c9b3b094dd49eda90e80d178f0ff28,animationclip|animationclip,clip|clip,0|0.16,0.55|0.65,0.75|0.7,-0.15|0.55,-0.15|-0.12,0|0,0|0
s_mon_iron_hog,강철 발굽,monster,ATK,0,monster,shield,false,0,passive,self,0,0,0,0,0,0,da712fe9654b4ea2940cee669043bceb,1.00,,,,,DEX,,강철 갑옷을 두르고도 빠르게 달리는 법을 익혀 보유한 수만큼 DEX를 높인다,,,,,,,,,,
s_mon_skeleton_commander,뼈 무덤,monster,ATK,2.0,monster,damage,false,6,attack,area,2,0,0,5.0,0,0,637abac61bd14f788b157d6aaf1fa08f,1.00,,,f0c0c4016cf04d0d98886227cab56561,,,,스켈레톤 지휘관이 무덤의 기운을 깨워 지면을 갈라 두 번의 묵직한 파쇄 충격을 일으킨다,db2b67de20f5418cb7b5050ce0641df1|05113e9dc86448cb8581731824106d75|997628810df4448f9e534bc426d6794a,animationclip|animationclip|animationclip,clip|clip|clip,0|0.1|0.18,0.58|0.62|0.5,0.55|0.75|0.6,0|-0.25|0.25,-0.08|-0.05|0,0|0|0,0|0|0
s_mon_fire_boar,화염 돌풍,monster,ATK,1.7,monster,damage,false,6,attack,area,0,0,0,4.5,0,0,f960bb921fb44bea91c95ea6b95f1d85,1.00,,,aa92fddf0e404d35bf6406cef6bc7ad5,,,,발굽의 흙먼지에 몸의 불길을 섞어 정면으로 흩뿌린다,0207c85c05dd4c4eac12f9ee735d0545|a610b14bbc55477cbc78777a5a2e7ed1,animationclip|animationclip,clip|clip,0|0.1,0.52|0.7,0.45|0.95,-0.15|0.25,-0.15|0,0|0,0|0
s_mon_stumpy,고목의 생기탄,monster,INT,1.9,monster,damage,false,7,attack,area,0,0,0,5.0,0,0,383249b0f9254764aa758b1bcc9bfee9,1.00,,,767b7de0d1e9447b91edbaeed49e7c2b,c6b3f052e977479ea5ad5329ce0981ca,,,페리온에서 빼앗은 생기를 응축해 던지고 닿은 자리의 적을 휩쓴다,,,,,,,,,,
s_mon_slime,끈적한 몸통,monster,ATK,1.15,monster,damage,false,4,attack,single,1,0,0,0,0,0,72d1dd0939714240bddc0b6865eb93ce,1.00,,,f5a9f40c07c645c88e069849a566b4ff,,,,슬라임이 몸을 납작하게 압축했다 탄성으로 튀어 오르며 점액 파동을 앞으로 밀어낸다,2c12c1e835a04c2a9ec1c5724846a7b6|69656381a8e04edcbb8a2c8599567ab3,animationclip|animationclip,clip|clip,0|0.12,0.62|0.52,0.48|0.55,0.18|0.5,0|0,0.35|0,0|0
s_mon_fairy,요정의 마법가루,monster,INT,1.4,monster,damage,false,5,attack,area,3,0,0,3,0,0,5f5ebe88b8f2426195c793b3440012e4,1.00,,,eb7f504670a14802a48cc94f4eb66848,,,,날개에서 마법가루를 두 번 겹쳐 흩뿌려 가까운 적 셋의 마력을 뒤흔든다,9defa2b61ad94ae3bc50d707979770e6|9defa2b61ad94ae3bc50d707979770e6,animationclip|animationclip,clip|clip,0|0.12,0.65|0.9,0.42|0.7,-0.14|0.14,0.1|0.15,-0.12|0.12,0|0
s_mon_dark_stump,단단한 밑동,monster,ATK,0,monster,shield,false,8,defense,self,0,0.45,5,0,0,0,8061aa7a332b4e7ba783b3cd582ebb4b,1.00,,,605da1fc42f34ef4a1468387004a6223,,,,다크 스텀프가 땅속 뿌리를 끌어올려 밑동을 조이고 초록 방벽으로 굳힌다,a77ea54c400e4b56a44ed05091a0ae53|566b0886b4cf4f3997a29ecd3a1954b5,animationclip|animationclip,clip|clip,0|0.1,0.75|0.75,0.7|0.55,0|0,0|0,0|0,0|0
s_mon_bubbling,물방울 마력,monster,INT,0,monster,shield,false,0,passive,self,0,0,0,0,0,0,572a7a12dcb449bcb0582fc2ccf5be07,1.00,,,,,INT,,버블링이 머금은 맑은 마력을 익혀 보유한 수만큼 INT를 높인다,,,,,,,,,,
s_mon_faust,저주의 인형,monster,INT,1.55,monster,damage,true,6,attack,area,0,0,0,4,0,0,c07ed26000af460a8438a3486e16f3ec,1.00,,,0e3a97f6a83844859166d34a5a56b507,49b21aaa1d574ba787149841a31bf1a5,,,기묘한 인형에 저주를 실어 던지고 닿은 자리의 적을 휘감는다,22444db0645d47f48f300f36b3d90e4b|9051254fb84a4a898f3d99a213a896ec,animationclip|animationclip,clip|clip,0|0.18,0.9|0.75,0.55|0.7,0|0,0.1|0.05,0|0,0|0
s_mon_octopus,먹물 폭발,monster,INT,1.65,monster,damage,false,5,attack,area,3,0,0,3.5,0,0,0af9fd3ccfb540799043da5e580aebbd,1.00,,,eb7f504670a14802a48cc94f4eb66848,,,,바닷물을 밀어낸 뒤 검보라 먹물 덩이로 가까운 적 셋을 덮는다,69656381a8e04edcbb8a2c8599567ab3|544b4092b87a41948b74e6645d530b88,animationclip|animationclip,clip|clip,0|0.1,0.6|0.75,0.62|0.72,0|0,0.02|0.05,0|0,0|0
s_mon_stirge,밤의 감각,monster,LUK,0,monster,shield,false,0,passive,self,0,0,0,0,0,0,dcfc97ad90e146d08a46225082ae590b,1.00,,,,,LUK,,어둠 속에서 무리의 움직임을 읽는 감각을 익혀 보유한 수만큼 LUK을 높인다,,,,,,,,,,
s_mon_jr_wraith,망령 충격,monster,INT,1.8,monster,damage,false,5,attack,area,2,0,0,4.0,0,0,c2b8ef247cb243268aae39b3d51f89e7,1.00,,,f0c0c4016cf04d0d98886227cab56561,,,,망령의 냉기를 퍼뜨려 가까운 적 둘을 내리친다,c4f8dce4ee2745cda0f211514605261b|01dbde634dd944e685b45727289bd9b8,animationclip|animationclip,clip|clip,0|0.12,0.62|0.75,0.6|0.75,0|0,0.08|0.05,0|0,0|0
s_mon_wraith,원혼의 기운,monster,INT,0,monster,shield,false,0,passive,self,0,0,0,0,0,0,71a82cb186bb41799e6dbb3a421cb474,1.00,,,,,INT,,지하철을 떠도는 원혼의 마력을 익혀 보유한 수만큼 INT를 높인다,,,,,,,,,,
s_mon_shade,심연의 장막,monster,INT,2.1,monster,damage,true,7,attack,area,0,0,0,4.8,0,0,25f430af296748f39f48de4a6a6faea7,1.00,,,5bae51ff66374f2e93fa1cdd9f972f47,,,,깊은 지하의 그림자를 펼쳐 주변의 적을 한 번에 삼킨다,c4f8dce4ee2745cda0f211514605261b|544b4092b87a41948b74e6645d530b88,animationclip|animationclip,clip|clip,0|0.12,0.65|0.8,1|0.9,0|0,0.08|0.05,0|0,0|0
s_mon_ribbon_pig,리본 돌진,monster,ATK,1.8,monster,damage,false,5,attack,single,1,0,0,0,5.5,0,de5f2ecbd5ae4a7c9fe5c25f1ed9728a,1.00,,,f5a9f40c07c645c88e069849a566b4ff,,,,리본 돼지가 고개를 낮추고 붉은 속도 잔상과 흙먼지를 길게 끌며 돌진한다,0207c85c05dd4c4eac12f9ee735d0545|057c2da13da2492c95cb92db424803db,animationclip|animationclip,clip|clip,0|0.04,0.52|0.65,0.55|0.58,-0.1|0.2,-0.05|0,0|0.9,0|0
s_mon_blue_pig,푸른 리본 매듭,monster,DEX,0,monster,shield,false,0,passive,self,0,0,0,0,0,0,a04302b1969248d2a7de250f3cb654b5,1.00,,,,,DEX,,거친 파도에도 풀리지 않는 리본 매듭을 익혀 보유한 수만큼 DEX를 높인다,,,,,,,,,,
s_mon_starfish,별가시 회전,monster,ATK,1.95,monster,damage,false,6,attack,area,3,0,0,4.0,0,0,c65619c9037a4018a344e1625fe2a753,1.00,,,bff845e488fc4d2095511c312872ded5,,,,불가사리가 몸의 다섯 가시를 축으로 회전해 물보라와 둥근 파도를 가까운 적에게 흩뿌린다,69656381a8e04edcbb8a2c8599567ab3|2c12c1e835a04c2a9ec1c5724846a7b6,animationclip|animationclip,clip|clip,0|0.06,0.55|0.68,0.55|0.72,0|0,0|0,0|0,0|0
s_mon_jellyfish,차가운 젤리,monster,INT,0,monster,shield,false,0,passive,self,0,0,0,0,0,0,2403c0085abe432b8120278f1c82442c,1.00,,,,,INT,,차가운 젤리 속에 저장된 마력을 익혀 보유한 수만큼 INT를 높인다,,,,,,,,,,
s_mon_jr_balrog,발록의 화염 파동,monster,INT,2.35,monster,damage,true,8,attack,area,0,0,0,5.2,0,0,e5591a8f17a84f7d966499a0048cf15a,1.00,,,dbc755c0609e45f39f6b76a5ed119921,,,,날개 아래에서 화염 파동을 터뜨려 갑판 위의 적을 휩쓴다,5638984319fd476ca3d89e2aaca7f32a|a610b14bbc55477cbc78777a5a2e7ed1,animationclip|animationclip,clip|clip,0|0.15,0.85|0.7,1|1.15,0|0,0|0,0|0,0|0
s_mon_zombie_mushroom,죽은 포자의 끈기,monster,INT,0,monster,shield,false,0,passive,self,0,0,0,0,0,0,thumbnail://3ee3fc0f4d2e443cbb9ec424dd2c012f,1.00,,,,,INT,,죽어서도 움직이는 버섯의 포자 생명력을 익혀 보유 수만큼 INT를 높인다,,,,,,,,,,
s_mon_copper_drake,청동 비늘,monster,STR,0,monster,shield,false,0,passive,self,0,0,0,0,0,0,thumbnail://da160cd4b78c479ab8dfaa225b2dcd47,1.00,,,,,STR,,습한 동굴에서도 단단함을 잃지 않는 비늘을 익혀 보유 수만큼 STR을 높인다,,,,,,,,,,
s_mon_drake,동굴 용염,monster,INT,2.45,monster,damage,false,6,attack,area,3,0,0,4.6,0,0,thumbnail://f8cfac4e30394735861603f6bfcb1932,1.00,,,,,,,드레이크가 품은 동굴의 열기를 전방에 터뜨려 가까운 적 셋을 휩쓴다,5638984319fd476ca3d89e2aaca7f32a|a610b14bbc55477cbc78777a5a2e7ed1,animationclip|animationclip,clip|clip,0|0.12,0.65|0.78,0.8|0.95,0|0,0|0,0|0,0|0
s_mon_wild_kargo,야수의 그림자 돌진,monster,ATK,2.55,monster,damage,false,6,attack,single,1,0,0,0,6.2,0,thumbnail://7d1c1d17eff44687b35ca0d5108084dc,1.00,,,,,,,저주받은 신전을 지키는 와일드카고처럼 낮게 몸을 숙여 빠르게 돌진한다,0207c85c05dd4c4eac12f9ee735d0545|057c2da13da2492c95cb92db424803db,animationclip|animationclip,clip|clip,0|0.04,0.52|0.65,0.65|0.72,0|0,0|0,1.0|0,0|0
s_mon_tauromacis,수문장의 낙뢰,monster,INT,2.8,monster,damage,true,8,attack,area,0,0,0,5.4,0,0,thumbnail://5ef751fd743e41609bf98e03de4df51c,1.00,,,,,,,저주받은 신전의 수문장이 창끝으로 번개를 불러 주변을 내리친다,3cbd85dcfe3c41c4989adec59385c257,animationclip,clip,0.08,0.82,1.2,0,0,0,0
s_mon_star_pixie,별빛 탄환,monster,INT,2.45,monster,damage,false,5,attack,single,1,0,0,6,0,0,thumbnail://ca136923b7e84267af993bdbabada385,1.00,,,,b61e7e2a50b2405794f88fdddf44b73a,,,스타픽시의 작은 별을 쏘아 한 대상을 밝게 터뜨린다,78e3188f0fc14797a8383658e626e3ea|6ffbabe486c24e5ea6cda2c54022033b,animationclip|animationclip,clip|clip,0|0.18,0.62|0.58,0.72|0.7,0|0,0|0,0|0,0|0
s_mon_jr_cellion,붉은 뿔의 기백,monster,STR,0,monster,shield,false,0,passive,self,0,0,0,0,0,0,thumbnail://016bc9a459104e2a8a2fea03d7130519,1.00,,,,,STR,,구름공원을 뛰노는 주니어 샐리온의 기백을 익혀 보유 수만큼 STR을 높인다,,,,,,,,,,
s_mon_lunar_pixie,월광 구슬,monster,INT,2.6,monster,damage,false,6,attack,single,1,0,0,6.4,0,0,thumbnail://ff4a57bc3d4a4488b0053c33f4c3369f,1.00,,,,4f6509d9539f4d76a9bb4e8f17e12cc7,,,루나픽시의 달빛 구슬을 날려 닿은 곳에 푸른 섬광을 남긴다,e7ee1a40564c43afbced2da544471266|6d96350411834e2b90a2fe18ff542159,animationclip|animationclip,clip|clip,0|0.2,0.68|0.62,0.8|0.75,0|0,0|0,0|0,0|0
s_mon_luster_pixie,태양빛 잔상,monster,DEX,0,monster,shield,false,0,passive,self,0,0,0,0,0,0,thumbnail://35f555b27d3a4d438224a29e73fac305,1.00,,,,,DEX,,러스터픽시의 눈부신 궤적을 익혀 보유 수만큼 DEX를 높인다,,,,,,,,,,
s_mon_eliza,여신의 정원 폭풍,monster,INT,3,monster,damage,true,8,attack,area,0,0,0,5.8,0,0,thumbnail://d458879e2e2949f2bb2e915ff67fbc64,1.00,,,,,,,잠에서 깨어난 엘리쟈의 분노가 경고진 뒤 폭풍처럼 정원을 휩쓴다,b14b3dbca0504af28e8d085c12b22000|1660382723ff40c296845e8ded7bbc86,animationclip|animationclip,clip|clip,0|0.22,0.72|0.85,1.05|1.25,0|0,0|0,0|0,0|0
s_mon_jr_yeti,설인의 체온,monster,STR,0,monster,shield,false,0,passive,self,0,0,0,0,0,0,thumbnail://1975dd704eec461ab49bdeb0c11c54d9,1.00,,,,,STR,,눈보라를 견디는 어린 예티의 체온을 익혀 보유 수만큼 STR을 높인다,,,,,,,,,,
s_mon_dark_jr_yeti,검은 설원의 은폐,monster,LUK,0,monster,shield,false,0,passive,self,0,0,0,0,0,0,thumbnail://ce56cf9613174f80976dab5b61f7b604,1.00,,,,,LUK,,검은 눈 속에 몸을 숨기는 감각을 익혀 보유 수만큼 LUK을 높인다,,,,,,,,,,
s_mon_hector,설원 늑대 발톱,monster,ATK,2.75,monster,damage,false,6,attack,single,1,0,0,0,6.5,0,thumbnail://7dcc64a4725b4777b8f86a5404b4d4cc,1.00,,,,,,,헥터처럼 눈 위를 미끄러지듯 파고들어 발톱으로 한 적을 찢는다,b9d0ab716c054c58a18c0c38b07695a5|7a41e40ee7d846908e29ec10b94630b0,animationclip|animationclip,clip|clip,0|0.12,0.58|0.62,0.82|0.78,0|0,0|0,1.0|0,0|0
s_mon_white_fang,화이트팽의 빙설 송곳니,monster,ATK,2.9,monster,damage,false,7,attack,area,3,0,0,4.8,0,0,thumbnail://aaa3b506804d4418b025da47dbb65b3f,1.00,,,,,,,화이트팽의 돌진에 얼음 파편을 실어 전방의 적 셋을 물어뜯는다,dd098279908940fa938d3c5cb3dda732|9fae493a549a4396a2f1378c39f7386f,animationclip|animationclip,clip|clip,0|0.15,0.65|0.72,0.9|0.85,0|0,0|0,0|0,0|0
s_mon_snow_witch,추방자의 눈보라,monster,INT,3.15,monster,damage,true,9,attack,area,0,0,0,6,0,0,thumbnail://4b50438f59154f41aba918b2d28bb8d2,1.00,,,,,,,금지된 마법을 익힌 설산의 마녀처럼 얼음탄과 눈보라를 연달아 펼친다,f55dd57a708e43238b64715c02bb06cc|c5a807748e9443348e5b14162948f26b|0719861214fa45578488a1083f49df5a,animationclip|animationclip|animationclip,clip|clip|clip,0|0.16|0.3,0.72|0.8|0.92,0.8|1.0|1.2,0|0|0,0|0|0,0|0|0,0|0|0
s_mon_bubble_fish,기포막,monster,INT,0,monster,shield,false,0,passive,self,0,0,0,0,0,0,thumbnail://c968133e75534a1b933d28da29c4e584,1.00,,,,,INT,,연안의 수압을 버티는 버블피쉬의 기포막을 익혀 보유 수만큼 INT를 높인다,,,,,,,,,,
s_mon_mask_fish,가면 아래의 감각,monster,LUK,0,monster,shield,false,0,passive,self,0,0,0,0,0,0,thumbnail://fb9037f43fcd442a971ee007b9f7cc26,1.00,,,,,LUK,,산호초에서 몸을 감추는 마스크피쉬의 감각을 익혀 보유 수만큼 LUK을 높인다,,,,,,,,,,
s_mon_squid,심해 먹물 폭발,monster,INT,3,monster,damage,false,7,attack,area,4,0,0,5.2,0,0,thumbnail://013b3e6ba18249269e4a1b85c536a0d9,1.00,,,,,,,스퀴드가 짙은 먹물을 폭발시켜 주변 네 대상을 어둠으로 덮는다,0906c3a7455940ce9e9db0b0f0278741,animationclip,clip,0.12,0.82,1.15,0,0,0,0
s_mon_shark,포식자의 수류탄,monster,ATK,3.15,monster,damage,false,7,attack,single,1,0,0,6.5,0,0,thumbnail://b95f05df46124b3485d0a15bb79b10fb,1.00,,,,209c4567073b424e8d445cea7efb80e3,,,샤크가 사냥감을 향해 압축 수류를 쏘고 송곳니 충격을 터뜨린다,a6ab8a49e4174a29bd45a835ed6d3460,animationclip,clip,0.22,0.72,1.0,0,0,0,0
s_mon_pianus,심해왕의 광선,monster,INT,3.45,monster,damage,true,10,attack,area,0,0,0,6.8,0,0,thumbnail://207c5d6dcee243ad9a141397244ba9a9,1.00,,,,,,,동굴에 몸을 숨긴 피아누스가 입에서 심해의 광선을 뿜어 넓은 범위를 쓸어버린다,3822f5bc47af488585cef2f0929ec811|306a9aafa3fb43498f1b783b85512305,animationclip|animationclip,clip|clip,0|0.25,0.82|0.95,1.2|1.35,0|0,0|0,0|0,0|0
